car_name,registration_year,insurance_validity,fuel_type,ownsership,transmission,manufacturing_year,seats,kms_driven,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs),short_carname
2019 BMW X5 xDrive 30d xLine,2019,Comprehensive,Diesel,Second Owner,Automatic,2019,5.0,38000.0,13.38,2993.0,26150.0,46.21,BMW X5
2018 Renault Captur 1.5 Diesel RXE,2018,Comprehensive,Diesel,First Owner,Manual,2018,5.0,109495.0,20.37,1461.0,10849.0,6.53,Renault Captur
2011 Toyota Etios G,2011,Comprehensive,Petrol,First Owner,Manual,2011,5.0,54214.0,1956.9099999999999,2172426667124.3333,770.3333333333334,2.55,Toyota Etios
2015 Audi A4 2.0 TDI Premium Plus,2015,Third Party,Diesel,Second Owner,Automatic,2015,5.0,43600.0,17.11,1968.0,17433.0,11.9,Audi A4
2020 Mercedes-Benz C-Class Progressive C 220d,2020,Comprehensive,Diesel,First Owner,Automatic,2020,5.0,30000.0,12.6,1950.0,194.0,37.5,Mercedes-Benz C-Class
2018 Maruti SX4 S Cross Zeta DDiS 200 SH,2018,Comprehensive,Diesel,First Owner,Manual,2018,5.0,45240.0,25.1,1248.0,885.0,7.34,Maruti SX4
2018 Datsun RediGO 1.0 T Option,2018,Comprehensive,Petrol,First Owner,Manual,2018,5.0,3600.0,22.5,999.0,67.0,3.45,Datsun RediGO
2021 Mercedes-Benz G G 350d,2023,Comprehensive,Diesel,First Owner,Automatic,2021,5.0,36000.0,8.13,2925.0,28161.0,2.05,Mercedes-Benz G
2020 Maruti Baleno Zeta,2021,Comprehensive,Petrol,First Owner,Manual,2020,5.0,59090.0,21.01,1197.0,8180.0,6.42,Maruti Baleno
2012 Audi Q3 35 TDI Quattro Premium,2012,Comprehensive,Diesel,First Owner,Automatic,2012,5.0,126000.0,15.73,1968.0,17433.0,6.5,Audi Q3
2014 Hyundai Grand i10 Sportz,2015,Comprehensive,Petrol,First Owner,Manual,2014,5.0,70717.0,18.9,1197.0,82.0,3.86,Hyundai Grand
2014 Mercedes-Benz S-Class S 500 L,2014,Comprehensive,Petrol,First Owner,Automatic,2014,5.0,65000.0,7.81,5461.0,3629.0,47.5,Mercedes-Benz S-Class
2013 Honda City i VTEC S,2013,Comprehensive,Petrol,Second Owner,Manual,2013,5.0,73086.0,17.4,1497.0,1173.0,3.75,Honda City
2020 Tata Nexon XZ Plus BSVI,2020,Comprehensive,Petrol,First Owner,Manual,2020,5.0,51690.0,17.33,1199.0,11835.0,8.52,Tata Nexon
2018 BMW X1 sDrive20d Expedition,2018,Comprehensive,Diesel,First Owner,Automatic,2018,5.0,49000.0,20.68,1995.0,188.0,19.45,BMW X1
2019 Mercedes-Benz E-Class Expression E 200 BSIV,2019,Comprehensive,Petrol,First Owner,Automatic,2019,5.0,25000.0,15.0,1991.0,1944.0,49.75,Mercedes-Benz E-Class
